epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,245.084,2.01598,0.74194,0.94709,0.86196,0.00332863,0.00332863,0.00332863
2,333.863,0.89809,0.73401,0.94256,0.9441,0.00653005,0.00653005,0.00653005
3,414.647,1.01277,0.55631,0.87719,1.56583,0.00959948,0.00959948,0.00959948
4,489.656,1.24242,0.67459,0.91794,1.13184,0.009406,0.009406,0.009406
5,569.813,1.0574,0.74109,0.94029,0.91197,0.009208,0.009208,0.009208
6,651.61,0.90939,0.77929,0.9584,0.76818,0.00901,0.00901,0.00901
7,734.545,0.81876,0.80928,0.96152,0.67567,0.008812,0.008812,0.008812
8,814.901,0.77028,0.81664,0.96633,0.63562,0.008614,0.008614,0.008614
9,896.575,0.70964,0.81975,0.96548,0.64774,0.008416,0.008416,0.008416
10,978.203,0.66434,0.82541,0.96746,0.61988,0.008218,0.008218,0.008218
11,1058.83,0.63489,0.82711,0.96746,0.6009,0.00802,0.00802,0.00802
12,1139.84,0.59618,0.84295,0.96831,0.5752,0.007822,0.007822,0.007822
13,1222.76,0.56238,0.84946,0.97114,0.57732,0.007624,0.007624,0.007624
14,1304.73,0.54317,0.85201,0.96831,0.55029,0.007426,0.007426,0.007426
15,1385.9,0.51975,0.85965,0.9717,0.50703,0.007228,0.007228,0.007228
16,1467.52,0.48428,0.85908,0.97199,0.51661,0.00703,0.00703,0.00703
17,1550.6,0.46851,0.85739,0.97482,0.53765,0.006832,0.006832,0.006832
18,1636.75,0.44696,0.86446,0.97453,0.51797,0.006634,0.006634,0.006634
19,1725.27,0.41999,0.86418,0.97284,0.49758,0.006436,0.006436,0.006436
20,1803.21,0.41634,0.87267,0.97595,0.49569,0.006238,0.006238,0.006238
21,1886.05,0.39889,0.87804,0.97793,0.47895,0.00604,0.00604,0.00604
22,1970.87,0.37411,0.87776,0.97821,0.47704,0.005842,0.005842,0.005842
23,2061.09,0.36564,0.87804,0.97906,0.4882,0.005644,0.005644,0.005644
24,2152.01,0.3468,0.87634,0.97708,0.48613,0.005446,0.005446,0.005446
25,2243.97,0.33183,0.88427,0.98019,0.4805,0.005248,0.005248,0.005248
26,2334.87,0.32001,0.88229,0.97793,0.47624,0.00505,0.00505,0.00505
27,2414.3,0.30829,0.88257,0.97934,0.48026,0.004852,0.004852,0.004852
28,2491.84,0.27458,0.88483,0.97849,0.48627,0.004654,0.004654,0.004654
29,2569.86,0.26594,0.87691,0.97878,0.49433,0.004456,0.004456,0.004456
30,2637.65,0.25403,0.88512,0.98161,0.49344,0.004258,0.004258,0.004258
31,2718.35,0.241,0.8837,0.98104,0.48666,0.00406,0.00406,0.00406
32,2797.42,0.21932,0.88483,0.98189,0.48079,0.003862,0.003862,0.003862
33,2878.25,0.22146,0.88879,0.98104,0.48358,0.003664,0.003664,0.003664
34,2960.63,0.20461,0.88398,0.98076,0.48938,0.003466,0.003466,0.003466
35,3035.41,0.18192,0.8837,0.98132,0.49502,0.003268,0.003268,0.003268
36,3102.75,0.17537,0.88427,0.98019,0.49564,0.00307,0.00307,0.00307
37,3171.06,0.16633,0.88314,0.98104,0.49703,0.002872,0.002872,0.002872
38,3238.31,0.16184,0.88229,0.98189,0.50528,0.002674,0.002674,0.002674
39,3306.22,0.1482,0.88483,0.98217,0.49623,0.002476,0.002476,0.002476
40,3390.07,0.13343,0.88455,0.98246,0.49943,0.002278,0.002278,0.002278
41,3476.82,0.1196,0.88681,0.98217,0.49993,0.00208,0.00208,0.00208
42,3561.27,0.11014,0.8871,0.98132,0.5008,0.001882,0.001882,0.001882
43,3646.9,0.10316,0.88879,0.98104,0.49843,0.001684,0.001684,0.001684
44,3732.99,0.1002,0.88851,0.98132,0.51786,0.001486,0.001486,0.001486
45,3817.8,0.09046,0.89049,0.98076,0.50298,0.001288,0.001288,0.001288
46,3900.67,0.07691,0.89191,0.98076,0.50702,0.00109,0.00109,0.00109
47,3984.28,0.07741,0.89304,0.98132,0.51455,0.000892,0.000892,0.000892
48,4061.84,0.07106,0.89191,0.98132,0.51621,0.000694,0.000694,0.000694
49,4139.88,0.06781,0.89134,0.98161,0.51943,0.000496,0.000496,0.000496
50,4218.88,0.06033,0.89021,0.98132,0.53512,0.000298,0.000298,0.000298
