epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9447,0.76272,1.91439,1.18074,0.60795,0.64563,0.67427,0.525,0.76039,2.37462,1.05248,0.00036,0.00036,0.00036
2,32.8257,0.68151,1.02253,1.0572,0.56362,0.59385,0.57456,0.41399,0.98345,4.02983,1.31566,0.000732674,0.000732674,0.000732674
3,37.242,0.74405,0.99349,1.10478,0.60921,0.67799,0.62161,0.47313,0.86877,2.8172,1.26033,0.00109782,0.00109782,0.00109782
4,41.6194,0.71384,0.92055,1.07795,0.57406,0.66505,0.65288,0.50164,0.88236,2.70587,1.32682,0.00145545,0.00145545,0.00145545
5,46.0195,0.77399,0.91916,1.11825,0.53529,0.57605,0.56177,0.40561,1.01305,2.74476,1.40923,0.00180555,0.00180555,0.00180555
6,50.2852,0.74738,0.87871,1.10595,0.58886,0.60257,0.59657,0.44935,1.01276,2.1175,1.31451,0.001901,0.001901,0.001901
7,54.8449,0.72495,0.88186,1.08669,0.58009,0.59547,0.60415,0.45301,0.99233,1.85831,1.34168,0.0018812,0.0018812,0.0018812
8,59.2361,0.71105,0.86247,1.08147,0.65402,0.6699,0.68735,0.54337,0.80907,1.78013,1.19444,0.0018614,0.0018614,0.0018614
9,63.7778,0.69785,0.84379,1.06901,0.64997,0.54531,0.63237,0.50027,0.84577,1.47522,1.22764,0.0018416,0.0018416,0.0018416
10,68.0485,0.72355,0.84573,1.08741,0.61665,0.63592,0.62676,0.45803,0.88381,1.42476,1.2536,0.0018218,0.0018218,0.0018218
11,72.2759,0.70027,0.84071,1.08551,0.68731,0.67314,0.69929,0.55055,0.79733,1.53815,1.17285,0.001802,0.001802,0.001802
12,76.8758,0.69113,0.81258,1.0673,0.69794,0.60356,0.6941,0.54183,0.81345,1.17911,1.16793,0.0017822,0.0017822,0.0017822
13,81.1434,0.66972,0.82411,1.0666,0.65908,0.68285,0.69269,0.56055,0.76032,1.5608,1.13755,0.0017624,0.0017624,0.0017624
14,85.6828,0.65324,0.80007,1.0558,0.67105,0.69579,0.69957,0.57509,0.69979,1.38293,1.08217,0.0017426,0.0017426,0.0017426
15,90.3541,0.64647,0.77492,1.04698,0.67832,0.67152,0.69869,0.5509,0.78108,1.14667,1.13887,0.0017228,0.0017228,0.0017228
16,94.9665,0.63433,0.74731,1.03111,0.68829,0.67314,0.7303,0.598,0.6989,0.88212,1.0757,0.001703,0.001703,0.001703
17,99.3843,0.60825,0.7132,1.02322,0.72042,0.61293,0.70899,0.57975,0.69919,0.90475,1.08816,0.0016832,0.0016832,0.0016832
18,103.644,0.61152,0.73763,1.03849,0.71972,0.67314,0.71183,0.57526,0.74315,1.04038,1.11354,0.0016634,0.0016634,0.0016634
19,108.084,0.59946,0.72476,1.01856,0.66336,0.69256,0.71523,0.58547,0.71428,0.90322,1.07034,0.0016436,0.0016436,0.0016436
20,112.294,0.6101,0.71614,1.02339,0.7152,0.69094,0.74717,0.62006,0.69158,1.04304,1.06555,0.0016238,0.0016238,0.0016238
21,116.79,0.61984,0.75047,1.03652,0.72357,0.60518,0.70446,0.56502,0.74515,0.96687,1.11782,0.001604,0.001604,0.001604
22,120.965,0.60475,0.70341,1.00819,0.68914,0.70309,0.73411,0.59877,0.70188,1.02737,1.06191,0.0015842,0.0015842,0.0015842
23,125.266,0.59653,0.68083,1.01653,0.77162,0.68932,0.78181,0.65965,0.62322,0.89435,1.03257,0.0015644,0.0015644,0.0015644
24,129.842,0.59392,0.68226,1.02254,0.7512,0.66934,0.75418,0.63925,0.63461,0.87666,1.0337,0.0015446,0.0015446,0.0015446
25,133.996,0.57021,0.64713,1.00009,0.73179,0.67961,0.76134,0.63999,0.65429,0.92469,1.04336,0.0015248,0.0015248,0.0015248
26,138.346,0.57432,0.671,1.01554,0.74908,0.69417,0.76857,0.65343,0.61626,0.82559,1.02234,0.001505,0.001505,0.001505
27,142.569,0.57302,0.65183,1.00986,0.65066,0.57929,0.65408,0.54049,0.72356,1.06232,1.10767,0.0014852,0.0014852,0.0014852
28,146.794,0.55787,0.63149,0.99309,0.76079,0.63269,0.7444,0.6319,0.64732,0.88556,1.03379,0.0014654,0.0014654,0.0014654
29,150.934,0.55774,0.62675,1.00418,0.7475,0.66828,0.76012,0.63242,0.67165,0.84473,1.07097,0.0014456,0.0014456,0.0014456
30,155.195,0.56641,0.64454,1.00689,0.68518,0.72006,0.73569,0.61608,0.6605,0.89014,1.04473,0.0014258,0.0014258,0.0014258
31,159.435,0.55465,0.62656,0.99401,0.69706,0.72604,0.75392,0.61647,0.68085,0.95088,1.05769,0.001406,0.001406,0.001406
32,163.639,0.55444,0.62455,0.98827,0.67894,0.6741,0.71807,0.59265,0.70066,0.90869,1.05998,0.0013862,0.0013862,0.0013862
33,167.981,0.53369,0.6044,0.97844,0.69938,0.72492,0.75552,0.63453,0.64223,0.85563,1.03926,0.0013664,0.0013664,0.0013664
34,172.233,0.56098,0.60155,0.99853,0.72271,0.71197,0.75719,0.64736,0.62431,0.83119,1.03852,0.0013466,0.0013466,0.0013466
35,176.503,0.54398,0.59242,0.98139,0.7036,0.74902,0.75282,0.63799,0.62255,0.85136,1.0409,0.0013268,0.0013268,0.0013268
36,180.77,0.5343,0.60547,0.98795,0.73894,0.70712,0.7574,0.64467,0.6135,0.87231,1.02397,0.001307,0.001307,0.001307
37,184.971,0.52507,0.58589,0.98488,0.76708,0.68447,0.7716,0.65585,0.63712,0.80244,1.04679,0.0012872,0.0012872,0.0012872
38,189.179,0.52765,0.57613,0.97791,0.74134,0.68123,0.76249,0.65223,0.61534,0.8862,1.0144,0.0012674,0.0012674,0.0012674
39,193.583,0.51557,0.57008,0.96592,0.817,0.6343,0.75881,0.65707,0.61451,0.84162,1.02744,0.0012476,0.0012476,0.0012476
40,197.812,0.50826,0.55633,0.96588,0.68232,0.72983,0.74023,0.63504,0.61354,0.89051,1.01639,0.0012278,0.0012278,0.0012278
41,201.982,0.51419,0.55668,0.9639,0.72765,0.69579,0.76236,0.65337,0.6278,0.83222,1.02612,0.001208,0.001208,0.001208
42,206.182,0.49657,0.53137,0.96021,0.76173,0.62298,0.73349,0.61677,0.6388,0.8894,1.04342,0.0011882,0.0011882,0.0011882
43,210.345,0.50277,0.51829,0.95798,0.73903,0.70388,0.7671,0.6541,0.61376,0.88707,1.02,0.0011684,0.0011684,0.0011684
44,214.473,0.50338,0.53279,0.97073,0.7993,0.63153,0.74569,0.63569,0.63607,0.90684,1.03183,0.0011486,0.0011486,0.0011486
45,218.638,0.50105,0.52245,0.96014,0.65503,0.66367,0.69546,0.57667,0.66008,0.97819,1.05186,0.0011288,0.0011288,0.0011288
46,222.958,0.48955,0.53078,0.96705,0.73085,0.69579,0.76114,0.65856,0.59774,0.86132,1.01034,0.001109,0.001109,0.001109
47,227.198,0.48978,0.50586,0.95351,0.78595,0.67314,0.76851,0.6589,0.59884,0.80144,1.00233,0.0010892,0.0010892,0.0010892
48,231.372,0.48865,0.51525,0.96042,0.73769,0.7008,0.75866,0.64972,0.61265,0.8336,1.01521,0.0010694,0.0010694,0.0010694
49,235.543,0.50239,0.51691,0.9699,0.8062,0.63946,0.75031,0.63183,0.63601,0.8868,1.03681,0.0010496,0.0010496,0.0010496
50,239.705,0.48943,0.51681,0.95075,0.71544,0.68285,0.72735,0.60851,0.62728,0.92513,1.03744,0.0010298,0.0010298,0.0010298
51,243.889,0.47366,0.49278,0.94777,0.74246,0.70439,0.78987,0.68415,0.58619,0.79974,1.00511,0.00101,0.00101,0.00101
52,248.314,0.47275,0.48249,0.94874,0.76656,0.69094,0.77444,0.67389,0.58261,0.82268,0.99654,0.0009902,0.0009902,0.0009902
53,252.699,0.46352,0.47494,0.94734,0.70833,0.75405,0.7692,0.66087,0.59911,0.80682,0.99786,0.0009704,0.0009704,0.0009704
54,256.911,0.45614,0.46158,0.94304,0.74617,0.74272,0.78222,0.66689,0.60964,0.79889,1.0267,0.0009506,0.0009506,0.0009506
55,261.159,0.45091,0.45839,0.93812,0.7496,0.70723,0.77897,0.67473,0.59992,0.86219,1.01301,0.0009308,0.0009308,0.0009308
56,265.378,0.47008,0.47193,0.94522,0.73232,0.75701,0.77348,0.66936,0.56442,0.84773,1.00144,0.000911,0.000911,0.000911
57,269.592,0.46702,0.49037,0.94761,0.79376,0.69748,0.7751,0.67324,0.58419,0.80759,1.00333,0.0008912,0.0008912,0.0008912
58,273.807,0.46671,0.47059,0.94795,0.71571,0.73327,0.77559,0.67494,0.57572,0.8217,1.00302,0.0008714,0.0008714,0.0008714
59,278.032,0.45985,0.46429,0.94836,0.73696,0.73463,0.76934,0.66258,0.58059,0.82264,1.00905,0.0008516,0.0008516,0.0008516
60,282.34,0.45154,0.4376,0.93388,0.77249,0.68608,0.75644,0.65612,0.59419,0.88165,1.01423,0.0008318,0.0008318,0.0008318
61,286.498,0.44389,0.43669,0.93301,0.74768,0.68123,0.76007,0.65587,0.60283,0.91358,1.01903,0.000812,0.000812,0.000812
62,290.692,0.45864,0.44927,0.93794,0.74474,0.7411,0.77882,0.67514,0.56919,0.81197,0.99224,0.0007922,0.0007922,0.0007922
63,294.875,0.45184,0.44321,0.93401,0.73988,0.73139,0.76957,0.67531,0.56638,0.88317,0.99501,0.0007724,0.0007724,0.0007724
