epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,319.959,2.47609,0.65337,0.90464,1.21155,0.00332392,0.00332392,0.00332392
2,576.052,1.06287,0.73684,0.94539,0.86748,0.00659134,0.00659134,0.00659134
3,676.542,0.99813,0.52009,0.8472,1.85672,0.00979277,0.00979277,0.00979277
4,778.189,1.06344,0.71109,0.93265,1.03162,0.009703,0.009703,0.009703
5,922.686,0.89409,0.691,0.91879,1.11923,0.009604,0.009604,0.009604
6,1111.85,0.83043,0.76486,0.95161,0.81184,0.009505,0.009505,0.009505
7,1322.35,0.75931,0.76853,0.95048,0.80784,0.009406,0.009406,0.009406
8,1479.68,0.73885,0.70685,0.93379,1.05943,0.009307,0.009307,0.009307
9,1734.16,0.68887,0.79117,0.96604,0.69913,0.009208,0.009208,0.009208
10,1985.74,0.66612,0.794,0.95812,0.735,0.009109,0.009109,0.009109
11,2163.77,0.6493,0.81381,0.96576,0.66025,0.00901,0.00901,0.00901
12,2389.06,0.62777,0.82003,0.96435,0.64521,0.008911,0.008911,0.008911
13,2640.81,0.59903,0.81268,0.96265,0.6945,0.008812,0.008812,0.008812
14,2896.75,0.59571,0.81494,0.96548,0.65574,0.008713,0.008713,0.008713
15,3150.48,0.56934,0.82683,0.97114,0.62632,0.008614,0.008614,0.008614
16,3404.63,0.55842,0.83164,0.97001,0.60041,0.008515,0.008515,0.008515
17,3656.9,0.54083,0.83758,0.97085,0.57964,0.008416,0.008416,0.008416
18,3919.19,0.52809,0.84776,0.9717,0.55871,0.008317,0.008317,0.008317
19,4172.06,0.51579,0.85767,0.9717,0.55074,0.008218,0.008218,0.008218
20,4424.28,0.50346,0.8554,0.97255,0.53721,0.008119,0.008119,0.008119
21,4684.61,0.50557,0.84861,0.97566,0.54373,0.00802,0.00802,0.00802
22,4899.26,0.50251,0.85116,0.9751,0.54927,0.007921,0.007921,0.007921
23,5170.13,0.4861,0.85937,0.9768,0.51818,0.007822,0.007822,0.007822
24,5433.68,0.48214,0.85908,0.97368,0.52509,0.007723,0.007723,0.007723
25,5689.62,0.47597,0.86191,0.97142,0.5226,0.007624,0.007624,0.007624
26,5987.73,0.46077,0.85993,0.9751,0.51194,0.007525,0.007525,0.007525
27,6265.19,0.4426,0.86135,0.97368,0.51438,0.007426,0.007426,0.007426
28,6485.68,0.45303,0.86333,0.97793,0.50375,0.007327,0.007327,0.007327
29,6759.01,0.42691,0.86672,0.97878,0.50028,0.007228,0.007228,0.007228
30,7036.41,0.42354,0.86757,0.97566,0.49677,0.007129,0.007129,0.007129
31,7309.04,0.42385,0.87493,0.9751,0.4903,0.00703,0.00703,0.00703
32,7585.07,0.41192,0.8704,0.97595,0.49975,0.006931,0.006931,0.006931
