Class,Training,Validate,Test
Banh beo,518,65,128
Banh bot loc,571,73,144
Banh can,574,75,149
Banh canh,733,97,193
Banh chung,496,50,102
Banh cuon,854,114,228
Banh duc,523,66,133
Banh gio,508,64,129
Banh khot,584,84,167
Banh mi,935,133,268
Banh pia,408,45,89
Banh tet,480,68,138
Banh trang nuong,556,80,159
Banh xeo,821,117,235
Bun bo Hue,1071,153,306
Bun dau mam tom,640,92,184
Bun mam,541,77,155
Bun rieu,805,115,229
Bun thit nuong,522,75,150
Ca kho to,473,67,136
Canh chua,577,83,165
Cao lau,641,62,124
Chao long,751,107,212
Com tam,659,94,189
Goi cuon,598,85,172
Hu tieu,688,98,194
Mi quang,618,89,177
Nem chua,592,54,109
Pho,564,81,162
Xoi xeo,623,52,105
banh_da_lon,510,62,54
banh_tieu,430,38,65
banh_trung_thu,423,45,79
