epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.126158,78.195489,0.138647,0.218045,0.00010000
2,2.675013,71.127820,0.251273,0.288722,0.00010000
3,2.383037,67.894737,0.325739,0.321053,0.00010000
4,2.160470,62.631579,0.385138,0.373684,0.00010000
5,1.980968,62.255639,0.431731,0.377444,0.00010000
6,1.840089,57.030075,0.469169,0.429699,0.00010000
7,1.721043,57.932331,0.505426,0.420677,0.00010000
8,1.604548,56.842105,0.536128,0.431579,0.00010000
9,1.509731,52.218045,0.562561,0.477820,0.00010000
10,1.441438,49.812030,0.582412,0.501880,0.00010000
11,1.351596,50.375940,0.606788,0.496241,0.00010000
12,1.307353,52.481203,0.619954,0.475188,0.00010000
13,1.254371,66.127820,0.637696,0.338722,0.00001000
14,1.005039,30.827068,0.716997,0.691729,0.00001000
15,0.936565,30.714286,0.738647,0.692857,0.00001000
16,0.901464,30.939850,0.750270,0.690602,0.00001000
17,0.872431,29.473684,0.758807,0.705263,0.00001000
18,0.850719,29.849624,0.765132,0.701504,0.00001000
19,0.835257,29.172932,0.770687,0.708271,0.00001000
20,0.815833,29.285714,0.774081,0.707143,0.00001000
21,0.787150,29.887218,0.784880,0.701128,0.00001000
22,0.772938,28.834586,0.790537,0.711654,0.00001000
23,0.755832,28.233083,0.794137,0.717669,0.00001000
24,0.741066,29.285714,0.797737,0.707143,0.00001000
25,0.713686,28.270677,0.808845,0.717293,0.00001000
26,0.701405,28.195489,0.814965,0.718045,0.00001000
27,0.675872,27.255639,0.822165,0.727444,0.00001000
28,0.670616,27.330827,0.823399,0.726692,0.00001000
29,0.655953,28.233083,0.827462,0.717669,0.00001000
30,0.629493,31.879699,0.834148,0.681203,0.00000100
31,0.580505,25.451128,0.853536,0.745489,0.00000100
32,0.569310,25.187970,0.860581,0.748120,0.00000100
33,0.561129,25.150376,0.862690,0.748496,0.00000100
34,0.559130,25.413534,0.866032,0.745865,0.00000100
35,0.557412,25.488722,0.863512,0.745113,0.00000100
36,0.555900,25.488722,0.861970,0.745113,0.00000010
