epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.407505,91.015038,0.068266,0.089850,0.00010000
2,3.221008,85.601504,0.120336,0.143985,0.00010000
3,2.994271,81.015038,0.165437,0.189850,0.00010000
4,2.832459,78.308271,0.205925,0.216917,0.00010000
5,2.703917,76.203008,0.236214,0.237970,0.00010000
6,2.577099,72.105263,0.273165,0.278947,0.00010000
7,2.457786,72.142857,0.303454,0.278571,0.00010000
8,2.352355,66.503759,0.331591,0.334962,0.00010000
9,2.258355,66.278195,0.356242,0.337218,0.00010000
10,2.164994,65.601504,0.380484,0.343985,0.00010000
11,2.075807,62.255639,0.403803,0.377444,0.00010000
12,1.995199,63.796992,0.425994,0.362030,0.00010000
13,1.914360,63.646617,0.451517,0.363534,0.00010000
14,1.843131,62.857143,0.477040,0.371429,0.00001000
15,1.657456,57.932331,0.538694,0.420677,0.00001000
16,1.594963,57.518797,0.556171,0.424812,0.00001000
17,1.567932,57.368421,0.565191,0.426316,0.00001000
18,1.527685,57.255639,0.578106,0.427444,0.00001000
19,1.502782,57.255639,0.588612,0.427444,0.00001000
20,1.484679,56.240602,0.595992,0.437594,0.00001000
21,1.445574,56.804511,0.609266,0.431955,0.00001000
22,1.426913,56.165414,0.609727,0.438346,0.00001000
23,1.410526,56.616541,0.620029,0.433835,0.00001000
24,1.381719,56.466165,0.630535,0.435338,0.00001000
25,1.362549,57.218045,0.635763,0.427820,0.00000100
26,1.333049,56.954887,0.644629,0.430451,0.00000100
27,1.324410,57.293233,0.651138,0.427068,0.00000100
28,1.330732,56.353383,0.643809,0.436466,0.00000010
29,1.319730,56.917293,0.650215,0.430827,0.00000010
30,1.319564,56.353383,0.648678,0.436466,0.00000010
31,1.324033,56.503759,0.647653,0.434962,0.00000001
32,1.329476,56.541353,0.647806,0.434586,0.00000001
