epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.211140,28.270677,0.437628,0.717293,0.00010000
2,0.898617,19.812030,0.751948,0.801880,0.00010000
3,0.637714,16.766917,0.818112,0.832331,0.00010000
4,0.514269,16.428571,0.850759,0.835714,0.00010000
5,0.452345,15.451128,0.867825,0.845489,0.00010000
6,0.387574,15.075188,0.886685,0.849248,0.00010000
7,0.353661,15.338346,0.898011,0.846617,0.00010000
8,0.330693,16.240602,0.905648,0.837594,0.00010000
9,0.315898,15.827068,0.907288,0.841729,0.00001000
10,0.210478,14.097744,0.939729,0.859023,0.00001000
11,0.167744,14.323308,0.955566,0.856767,0.00001000
12,0.154624,13.609023,0.957821,0.863910,0.00001000
13,0.140144,13.571429,0.962382,0.864286,0.00001000
14,0.133174,13.270677,0.964381,0.867293,0.00001000
15,0.124143,13.571429,0.967353,0.864286,0.00001000
16,0.118023,13.421053,0.969711,0.865789,0.00001000
17,0.114563,13.383459,0.970787,0.866165,0.00000100
18,0.101520,12.932331,0.974477,0.870677,0.00000100
19,0.104278,13.082707,0.974016,0.869173,0.00000100
20,0.105484,13.120301,0.973555,0.868797,0.00000100
21,0.098433,13.345865,0.974938,0.866541,0.00000010
22,0.102564,13.082707,0.974938,0.869173,0.00000010
23,0.103649,13.270677,0.973811,0.867293,0.00000010
24,0.103255,13.270677,0.972837,0.867293,0.00000001
25,0.097273,12.894737,0.976271,0.871053,0.00000001
26,0.099272,13.345865,0.973811,0.866541,0.00000001
27,0.099396,13.195489,0.974375,0.868045,0.00000001
28,0.098999,13.345865,0.975092,0.866541,0.00000001
