epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.215311,27.894737,0.446403,0.721053,0.00010000
2,0.905818,19.812030,0.748034,0.801880,0.00010000
3,0.648774,17.067669,0.814324,0.829323,0.00010000
4,0.518491,15.751880,0.853803,0.842481,0.00010000
5,0.438255,15.526316,0.873753,0.844737,0.00010000
6,0.403244,16.729323,0.884098,0.832707,0.00010000
7,0.357469,15.451128,0.897029,0.845489,0.00010000
8,0.330186,16.428571,0.907373,0.835714,0.00010000
9,0.314518,16.203008,0.909115,0.837970,0.00010000
10,0.313825,16.278195,0.910118,0.837218,0.00001000
11,0.200453,13.458647,0.944952,0.865414,0.00001000
12,0.165132,13.195489,0.958991,0.868045,0.00001000
13,0.148187,12.894737,0.962263,0.871053,0.00001000
14,0.136463,12.969925,0.966644,0.870301,0.00001000
15,0.126039,12.894737,0.968649,0.871053,0.00001000
16,0.121548,13.195489,0.970180,0.868045,0.00000100
17,0.112219,12.593985,0.970444,0.874060,0.00000100
18,0.108655,13.233083,0.973294,0.867669,0.00000100
19,0.106334,12.744361,0.973399,0.872556,0.00000100
20,0.113174,12.969925,0.973241,0.870301,0.00000010
21,0.111698,12.894737,0.974561,0.871053,0.00000010
22,0.110237,12.932331,0.972449,0.870677,0.00000010
23,0.108251,12.781955,0.972819,0.872180,0.00000001
24,0.105244,12.593985,0.973558,0.874060,0.00000001
25,0.105132,12.932331,0.973558,0.870677,0.00000001
26,0.116382,13.383459,0.971922,0.866165,0.00000001
