epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.262967,38.045113,0.400749,0.619549,0.00010000
2,1.070132,30.864662,0.684858,0.691353,0.00010000
3,0.748001,26.278195,0.778540,0.737218,0.00010000
4,0.568098,25.000000,0.831424,0.750000,0.00010000
5,0.451782,23.796992,0.865889,0.762030,0.00010000
6,0.358218,24.248120,0.897609,0.757519,0.00010000
7,0.304748,21.503759,0.916082,0.784962,0.00010000
8,0.275076,23.270677,0.925371,0.767293,0.00010000
9,0.247771,20.977444,0.933024,0.790226,0.00010000
10,0.207063,19.511278,0.949174,0.804887,0.00010000
11,0.177485,19.924812,0.958833,0.800752,0.00010000
12,0.181012,20.563910,0.956932,0.794361,0.00010000
13,0.188803,21.090226,0.953185,0.789098,0.00001000
14,0.117453,18.458647,0.977886,0.815414,0.00001000
15,0.096662,17.894737,0.982794,0.821053,0.00001000
16,0.084568,17.969925,0.986594,0.820301,0.00001000
17,0.082134,17.894737,0.986489,0.821053,0.00001000
18,0.077230,17.518797,0.987808,0.824812,0.00001000
19,0.076165,18.308271,0.988811,0.816917,0.00001000
20,0.069030,17.631579,0.990341,0.823684,0.00001000
21,0.068250,17.669173,0.990764,0.823308,0.00000100
22,0.067201,18.082707,0.992030,0.819173,0.00000100
23,0.063261,17.368421,0.991661,0.826316,0.00000100
24,0.062849,17.744361,0.992189,0.822556,0.00000100
25,0.068029,17.330827,0.992083,0.826692,0.00000100
26,0.068193,17.706767,0.992030,0.822932,0.00000100
27,0.062659,17.669173,0.991767,0.823308,0.00000100
28,0.063923,17.443609,0.992294,0.825564,0.00000010
29,0.060552,17.669173,0.992083,0.823308,0.00000010
