epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.408600,89.699248,0.070824,0.103008,0.00010000
2,3.206917,85.000000,0.121048,0.150000,0.00010000
3,2.999235,80.902256,0.170151,0.190977,0.00010000
4,2.824108,76.766917,0.212166,0.232331,0.00010000
5,2.675798,74.285714,0.246584,0.257143,0.00010000
6,2.546979,71.466165,0.285386,0.285338,0.00010000
7,2.422506,70.187970,0.312411,0.298120,0.00010000
8,2.313747,67.255639,0.344840,0.327444,0.00010000
9,2.213469,65.902256,0.367326,0.340977,0.00010000
10,2.111877,64.097744,0.397308,0.359023,0.00010000
11,2.025096,63.120301,0.419437,0.368797,0.00010000
12,1.950786,62.631579,0.444830,0.373684,0.00010000
13,1.865661,58.684211,0.465174,0.413158,0.00010000
14,1.804863,59.962406,0.486284,0.400376,0.00010000
15,1.729743,59.924812,0.510402,0.400752,0.00010000
16,1.657891,57.969925,0.530492,0.420301,0.00010000
17,1.597715,56.691729,0.547930,0.433083,0.00010000
18,1.538344,56.917293,0.570569,0.430827,0.00010000
19,1.476061,56.466165,0.589945,0.435338,0.00010000
20,1.438900,59.060150,0.602284,0.409398,0.00010000
21,1.391473,56.804511,0.616612,0.431955,0.00010000
22,1.349152,57.218045,0.636855,0.427820,0.00001000
23,1.165921,52.593985,0.697277,0.474060,0.00001000
24,1.108785,53.308271,0.715327,0.466917,0.00001000
25,1.064841,52.932331,0.733938,0.470677,0.00001000
26,1.048137,53.721805,0.739292,0.462782,0.00000100
27,1.011832,53.496241,0.748113,0.465038,0.00000100
28,1.014143,53.195489,0.749388,0.468045,0.00000100
29,1.002114,53.007519,0.756578,0.469925,0.00000010
30,1.000875,53.496241,0.753110,0.465038,0.00000010
31,0.999742,53.270677,0.759790,0.467293,0.00000010
32,0.997457,53.421053,0.756731,0.465789,0.00000001
33,0.999768,53.496241,0.755864,0.465038,0.00000001
