epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.384922,31.015038,0.396583,0.689850,0.00010000
2,1.169802,21.052632,0.708203,0.789474,0.00010000
3,0.819341,17.857143,0.788037,0.821429,0.00010000
4,0.664094,16.503759,0.825340,0.834962,0.00010000
5,0.544054,16.503759,0.858658,0.834962,0.00010000
6,0.479733,15.676692,0.874346,0.843233,0.00010000
7,0.442378,16.090226,0.886698,0.839098,0.00010000
8,0.414652,15.789474,0.893670,0.842105,0.00010000
9,0.381355,15.488722,0.903232,0.845113,0.00010000
10,0.362396,15.827068,0.908561,0.841729,0.00010000
11,0.350111,16.954887,0.911251,0.830451,0.00010000
12,0.353569,16.203008,0.914836,0.837970,0.00001000
13,0.246327,13.834586,0.947059,0.861654,0.00001000
14,0.204692,13.609023,0.958016,0.863910,0.00001000
15,0.182971,13.345865,0.964042,0.866541,0.00001000
16,0.175175,13.458647,0.966383,0.865414,0.00001000
17,0.162925,13.345865,0.969769,0.866541,0.00001000
18,0.156590,13.646617,0.971662,0.863534,0.00000100
19,0.147097,13.233083,0.974949,0.867669,0.00000100
20,0.147564,13.270677,0.972558,0.867293,0.00000100
21,0.140442,13.458647,0.976343,0.865414,0.00000100
22,0.141819,13.458647,0.976742,0.865414,0.00000010
23,0.141744,13.421053,0.976443,0.865789,0.00000010
24,0.143071,13.195489,0.974600,0.868045,0.00000010
25,0.138187,13.496241,0.976045,0.865038,0.00000010
26,0.144082,13.646617,0.974700,0.863534,0.00000010
27,0.136589,13.421053,0.976642,0.865789,0.00000001
