epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7961,1.51454,4.97098,1.70434,0.00872,0.0018,0.00453,0.00402,1.39496,4.702,1.56357,4.29598e-05,4.29598e-05,4.29598e-05
2,69.6017,1.36162,4.73921,1.58214,0.01252,0.19028,0.02118,0.01511,1.41743,4.29959,1.6349,8.50727e-05,8.50727e-05,8.50727e-05
3,88.163,1.38059,4.40794,1.61198,0.50284,0.04434,0.02821,0.02035,1.45504,3.94532,1.66797,0.00012596,0.00012596,0.00012596
4,106.87,1.40677,4.06699,1.66458,0.53229,0.07827,0.04197,0.02952,1.50237,3.52313,1.7451,0.000124484,0.000124484,0.000124484
5,125.482,1.42383,3.76667,1.69884,0.48156,0.09616,0.06634,0.04424,1.54764,3.25494,1.79838,0.000122646,0.000122646,0.000122646
6,144.131,1.44502,3.50717,1.71326,0.48078,0.11187,0.08142,0.05258,1.49879,3.13469,1.77659,0.000120807,0.000120807,0.000120807
7,163.05,1.44139,3.36363,1.70845,0.55778,0.12727,0.09849,0.0644,1.494,2.95243,1.77306,0.000118969,0.000118969,0.000118969
8,182.228,1.4202,3.19072,1.68928,0.50073,0.12951,0.11455,0.07581,1.48489,2.8484,1.77944,0.00011713,0.00011713,0.00011713
9,201.256,1.40033,3.09907,1.68169,0.47888,0.14862,0.12101,0.0822,1.49079,2.72302,1.7514,0.000115291,0.000115291,0.000115291
10,219.893,1.40251,3.01007,1.67718,0.54354,0.16087,0.14066,0.09467,1.47771,2.75349,1.77025,0.000113453,0.000113453,0.000113453
11,238.964,1.36352,2.93741,1.67484,0.53107,0.17125,0.16283,0.11048,1.44594,2.56401,1.72702,0.000111614,0.000111614,0.000111614
12,257.615,1.37622,2.84297,1.66364,0.53493,0.17676,0.16634,0.11333,1.45136,2.6209,1.74549,0.000109776,0.000109776,0.000109776
